...1,farmID,farm,lon,lat,zone,biomass,Dw.in,Ds.in,Dw.out,Ds.out,Dw.self,Ds.self,Dw.f.in,Ds.f.in,Dw.f.out,Ds.f.out,avtemp,all_x,all_y,all_xy,all_xz,all_yz,all_xyz,r10xz_r90yz,r25xz_r75yz,r50xz_r50yz,r75xz_r25yz,r90xz_r10yz,r10z_r90xyz,r25z_r75xyz,r50z_r50xyz,r75z_r25xyz,r90z_r10xyz,r50z_r50xz,r50xz_r50xyz,leastDwin10_z_mostDwin90_xyz,leastDwin25_z_mostDwin75_xyz,leastDwin50_z_mostDwin50_xyz,leastDwin75_z_mostDwin25_xyz,leastDwin90_z_mostDwin10_xyz,leastDwin95_z_mostDwin5_xyz,leastDwin95_xyz_mostDwin5_z,leastDwout10_xyz_mostDwout90_z,leastDwout25_xyz_mostDwout75_z,leastDwout50_xyz_mostDwout50_z,leastDwout75_xyz_mostDwout25_z,leastDwout90_xyz_mostDwout10_z,leastDwout95_xyz_mostDwout5_z,all_z
57,10880,10880,12.475,65.723,8,2340,0.002361111,0.001422975,0.001041667,0.001536885,0.000555556,0.000853825,22,11,1,3,8.169381916,x,y,xy,xz,yz,xyz,yz,yz,xz,yz,xz,xyz,xyz,z,xyz,z,z,xz,z,z,z,z,z,z,xyz,xyz,xyz,xyz,xyz,xyz,xyz,z
58,10898,10898,12.134,65.471,8,300,0.004097222,0.003244426,0.001736111,0,0.010277778,0.007342896,17,17,2,0,8.297105161,x,y,xy,xz,yz,xyz,yz,xz,xz,xz,xz,xyz,xyz,z,z,z,xz,xz,z,z,z,z,z,z,xyz,xyz,xyz,xyz,xyz,xyz,xyz,z
59,11435,11435,5.096,59.429,3,2340,0.007083333,0.002504226,0.026388889,0.010302253,0.000208333,0.000170765,61,27,83,58,9.503690972,x,y,xy,xz,yz,xyz,xz,xz,xz,xz,xz,xyz,xyz,z,xyz,z,z,xyz,xyz,z,z,z,z,z,xyz,z,xyz,xyz,xyz,xyz,xyz,z
60,11438,11438,5.473,59.18,2,3600,0.0275,0.005691776,0.021597222,0.011042433,0.000625,0.000398452,57,43,77,44,9.851476059,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,xyz,xyz,z,z,z,xz,xyz,xyz,z,z,z,z,xyz,z,xyz,xyz,xyz,xyz,xyz,z
61,11486,11486,5.341,59.76,3,1560,0.179166667,0.103084916,0.135972222,0.084016173,0.031041667,0.021857923,63,39,61,35,7.857736207,x,y,xy,xz,yz,xyz,yz,xz,xz,xz,xz,xyz,z,xyz,z,z,xz,xz,xyz,xyz,xyz,xyz,xyz,xyz,z,z,z,z,z,z,z,z
62,11488,11488,5.303,60.044,3,5460,0.049305556,0.031875489,0.076736111,0.03790966,0.000416667,0.003130692,80,65,73,55,10.42706154,x,y,xy,xz,yz,xyz,yz,xz,yz,xz,yz,xyz,xyz,z,xyz,z,z,xz,xyz,xyz,xyz,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
63,11492,11492,5.305,59.839,3,2340,0.069305556,0.063068999,0.225277778,0.084016328,0.015208333,0.018214936,34,30,32,16,10.04154615,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,z,xyz,z,z,xz,xz,xyz,xyz,xyz,z,z,z,xyz,z,z,z,z,z,z,z
64,11511,11511,5.251,59.626,3,3120,0.112361111,0.019011424,0.057777778,0.019865141,0.004930556,0.004212204,103,54,97,59,10.16035219,x,y,xy,xz,yz,xyz,yz,xz,yz,xz,xz,xyz,xyz,xyz,z,z,xz,xyz,xyz,xyz,xyz,xyz,z,z,xyz,z,z,z,xyz,xyz,xyz,z
65,11513,11513,5.247,59.636,3,3120,0.062569444,0.015197717,0.066527778,0.025671128,0.012638889,0.004553734,92,46,90,62,10.28687475,x,y,xy,xz,yz,xyz,yz,xz,xz,yz,xz,xyz,xyz,z,xyz,z,z,xyz,xyz,xyz,xyz,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
66,11530,11530,5.16,59.623,3,3120,0.091875,0.031306329,0.034444444,0.015140881,0.056111111,0.017531876,119,84,57,26,10.09871457,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,xyz,z,z,xz,xz,xyz,xyz,xyz,xyz,z,z,xyz,z,z,xyz,xyz,xyz,xyz,z
